LocationID,ACCESS2,ARTHRITIS,BINGE,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PHLTH,SLEEP,STROKE,TEETHLOST
31127,12.2,23.2,22.8,6.6,8.7,83.9,5.6,69.1,60.6,5.9,22.5,23.4,17.5,64.2,8.6,2.4,25.5,69.9,11.8,36.8,10.4,31.8,2.7,13.3
31129,13.4,24.2,22.3,6.5,8.7,83.4,6.2,68.7,58.1,6.6,23.6,22.0,18.2,60.2,8.8,2.6,27.0,68.9,12.6,37.9,11.1,31.3,3.0,16.4
31131,13.4,23.7,23.1,6.6,8.4,82.8,5.5,69.9,61.8,6.0,23.9,22.3,16.5,66.7,8.6,2.4,25.8,66.3,11.6,36.6,10.2,31.4,2.8,14.2
31133,14.3,24.9,22.0,6.6,9.1,82.2,6.5,69.1,56.7,7.1,22.7,22.0,19.4,62.7,9.5,2.7,27.4,68.2,13.2,37.9,11.9,32.6,3.2,16.4
31135,11.8,21.4,23.2,6.5,8.1,84.8,5.2,68.3,63.2,5.4,25.7,24.5,15.1,66.3,7.5,2.3,22.2,69.1,11.0,31.4,9.2,29.1,2.6,12.1
31137,12.5,23.9,22.8,6.6,8.3,84.8,5.4,69.5,61.1,5.6,25.7,24.9,16.2,69.2,8.1,2.4,24.6,69.5,11.3,36.3,9.8,29.6,2.6,12.7
31139,11.7,23.2,23.7,6.6,8.3,84.0,5.5,68.8,60.5,5.7,22.5,23.1,16.5,65.8,8.1,2.4,22.2,70.8,11.4,32.7,9.7,32.0,2.7,12.2
31141,15.4,21.4,22.7,6.2,8.0,85.7,5.5,71.3,62.1,5.6,26.4,26.4,14.9,66.3,8.9,2.5,23.3,73.6,11.1,36.6,9.9,31.6,2.7,14.0
31143,13.4,23.9,22.6,6.5,8.5,84.3,5.6,68.8,62.0,6.0,25.1,24.3,17.1,65.2,8.1,2.5,26.2,72.0,12.1,36.8,10.3,29.4,2.8,13.8
31145,13.0,24.2,22.3,6.6,8.9,83.9,6.0,68.0,57.6,6.3,22.6,20.8,18.2,60.1,8.8,2.6,24.2,68.7,12.5,35.0,10.9,32.4,2.9,14.2
31147,12.7,24.6,22.0,6.5,9.0,83.4,6.0,69.0,61.0,6.6,22.6,22.9,19.6,60.4,8.8,2.6,25.0,66.4,12.6,41.6,11.3,30.7,3.0,15.2
31149,12.0,23.8,22.7,6.5,8.6,84.4,5.6,68.8,62.1,5.9,25.6,22.7,16.9,65.7,8.1,2.4,24.5,69.6,11.9,36.4,10.1,31.6,2.7,13.5
31151,19.4,23.2,22.6,6.2,8.5,81.7,6.5,68.6,60.0,6.7,21.3,22.5,17.8,59.2,10.4,2.8,30.1,68.6,12.6,35.6,11.7,31.0,3.2,19.0
31153,10.5,24.0,21.1,6.8,8.1,86.9,4.9,72.4,71.2,4.7,30.1,29.1,14.0,72.6,7.9,2.2,21.3,75.2,9.9,36.7,8.6,31.2,2.3,9.3
31155,11.4,22.5,24.8,6.6,8.5,84.7,5.3,69.3,65.9,5.6,26.3,23.1,17.5,70.2,8.1,2.3,21.1,69.1,11.5,36.3,9.7,31.7,2.6,12.8
31157,17.0,24.6,18.8,6.4,8.7,83.2,6.2,68.7,53.7,6.3,22.2,20.7,17.5,59.1,10.6,2.8,25.8,64.1,12.8,39.7,12.0,35.1,3.0,16.7
